name,description,make,model,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain
2024 Jeep Compass Latitude,"
      
        Unleash Your Adventure: 2024 Jeep Compass Latitude 4WDEmbark on a journey of exploration with the 2024 Jeep Compass Latitude, a perfect blend of style, technology, and capability. This 4D Sport Utility, equipped with 4x4 prowess, ensures that every drive is an opportunity for discovery.Key Features:- 4x4/Four-Wheel Drive: Experience superior traction and control on any terrain.- Keyless Go/Push Button Start: Start your journey with ease and convenience.- Rear Vision Back-Up Camera: Navigate with confidence, aided by a clear view of your surroundings.- Apple CarPlay and Google Android Auto: Seamlessly integrate your smartphone for enhanced connectivity.- Blind Spot Monitor and Lane Keep Assist: Stay aware and confident with advanced safety features.- Forward Collision Alert: Receive warnings for potential front-end collisions.- 10 Touchscreen Display: Command your vehicle with a vibrant and intuitive interface.- Bluetooth Phone Connectivity and Streaming Audio: Stay connected hands-free.- Remote Engine Start and Remote Keyless Entry: Convenient features for your busy lifestyle.- Smartphone Integration: Enhance your driving experience with seamless connectivity.Altitude Special Edition:- Black Day Light Opening Moldings and Roof: Elevate your Compass's style with a sleek and distinctive look.- Gloss Black Surround/Neutral Gray Rings: A refined touch to the exterior.- Light Tungsten Interior Accent Stitching: Enhances the interior with attention to detail.- Neutral Gray Exterior Badging: Adds a touch of sophistication.- Piano Black Interior Accents: Stylish and modern interior details.- Wheels: 18 x 7 Gloss Black Painted Aluminum: Stylish and functional wheels that complement the overall design.Additional Highlights:- 17 x 7 Aluminum Wheels: A perfect balance of style and performance.- ParkView Rear Back-Up Camera: Enhanced visibility for confident parking.- Premium Cloth/Vinyl Bucket Seats: Comfortable and stylish interior seating.- Roof Rack: Rails Only: Ready for your adventure gear.Performance and Efficiency:- 3.73 Final Drive Ratio: Optimal balance of power and efficiency.- Four-Wheel Disc Brakes: Responsive braking for enhanced safety.- Fuel-Efficient Powertrain: Balance performance with fuel efficiency.Technology and Connectivity:- Uconnect 5 with 10.1 Display: Cutting-edge infotainment system.- Emergency Communication System: SiriusXM Guardian: Added safety and security.- Variably Intermittent Wipers: Adjust to the pace of changing weather conditions.The 2024 Jeep Compass Latitude 4WD is not just a vehicle; it's a companion for your adventurous spirit.
      
    ",Jeep,Compass,2024,33255.0,16V GDI DOHC Turbo,4.0,Gasoline,10.0,8-Speed Automatic,Latitude,SUV,4.0,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive
2024 Hyundai Santa Cruz 2.5T NIGHT,"
      
        Hampton Gray 2024 Hyundai Santa Cruz NIGHT AWD Shiftronic 2.5L I4Recent Arrival! 19/27 City/Highway MPGMastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Central New York completely satisfied with your experience at Mastrovito Hyundai. Whether we can amaze you with incredible new and pre-owned vehicle selection, our dedication to incredible customer service or our transparent and accommodating auto loan and lease options, we look forward to serving you at Mastrovito Hyundai.
      
    Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Manlius completely satisfied with your experience at Mastrovito Hyundai.",Hyundai,Santa Cruz,2024,40434.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T NIGHT,Pickup Truck,4.0,Hampton Gray,Black,All-wheel Drive
2024 Hyundai Santa Cruz 2.5T NIGHT,"
      
        Hampton Gray 2024 Hyundai Santa Cruz NIGHT AWD Shiftronic 2.5L I419/27 City/Highway MPGMastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Central New York completely satisfied with your experience at Mastrovito Hyundai. Whether we can amaze you with incredible new and pre-owned vehicle selection, our dedication to incredible customer service or our transparent and accommodating auto loan and lease options, we look forward to serving you at Mastrovito Hyundai.
      
    Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Manlius completely satisfied with your experience at Mastrovito Hyundai.",Hyundai,Santa Cruz,2024,40375.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T NIGHT,Pickup Truck,4.0,Hampton Gray,Black,All-wheel Drive
2024 Mazda CX-90 PHEV Premium,"
      
        At Walser, youll get an exceptional car-buying experience. Our streamlined process means youll work with one dedicated customer specialist to help you find the perfect vehicle. Upfront Pricing on every vehicle ensures youll get a great deal without any surprises or gimmicks. Buy with confidence because youre backed by our Worry-Free Return & Exchange Policy.The benefits dont stop there. We want you to be happy long after youve left our lot, so we include a complimentary WalserCare warranty with most new vehicles.Not only will you get a fast, easy, personalized experience, we also have ways to help you save. Our experienced finance team shops and compares rates from multiple lenders to get you the best deal. Whether youre leasing or financing, our special finance tools can find a great rate and payment to fit your budget.The best car-buying experience starts right here at Walser.
      
    If you are unfamiliar with the Walser Way, please visit our website to learn more: https://www.walser-mazda.com/why-walser/",Mazda,CX-90 PHEV,2024,54949.0,DOHC 16V LEV3-SULEV30,4.0,PHEV Hybrid Fuel,3.0,Automatic,Premium,SUV,4.0,Machine,Black,All-wheel Drive
2024 Land Rover Discovery Sport Dynamic SE,"
      
        Land Rover Jaguar San Juan is excited to offer this 2024 Land Rover Discovery Sport Dynamic SE. Want more room? Want more style? This Land Rover Discovery Sport Dynamic SE is the vehicle for you. You deserve a vehicle designed for higher expectations. This Land Rover Discovery Sport Dynamic SE delivers with a luxurious, well-appointed interior and world-class engineering. Want to brave the road less traveled? You'll have the 4WD capabilities to do it with this vehicle. You can finally stop searching... You've found the one you've been looking for.
      
    Here at Jaguar Land Rover San Juan every employee is dedicated to providing world class customer service. That is why we continue to improve every day and maintain a ""whatever it takes"" attitude. We feel that buying or leasing a vehicle should be easy and hassle free. Simply put, we are dedicated to your complete satisfaction. ",Land Rover,Discovery Sport,2024,57508.0,16V GDI DOHC Turbo,4.0,Gasoline,19.0,9-Speed Automatic,Dynamic SE,SUV,4.0,Eiger Grey,Gray,All-wheel Drive
2024 Jeep Grand Cherokee L Limited,"
      
        Boasts 26 Highway MPG and 19 City MPG! This Jeep Grand Cherokee L delivers a Regular Unleaded V-6 3.6 L/220 engine powering this Automatic transmission. WICKER BEIGE/BLACK, CAPRI LEATHERETTE W/AXIS II SEATS, WHEELS: 20 X 8.5 GLOSS BLACK PAINTED ALUMINUM, TRANSMISSION: 8-SPEED AUTOMATIC (8HP50). This Jeep Grand Cherokee L Features the Following Options QUICK ORDER PACKAGE 23E -inc: Engine: 3.6L V6 24V VVT UPG I w/ESS, Transmission: 8-Speed Automatic (8HP50), BLACK APPEARANCE PACKAGE -inc: Tires: 265/50R20 Performance A/S, Wheels: 20 x 8.5 Gloss Black Painted Aluminum, Gloss Black Exterior Accents , TIRES: 265/50R20 PERFORMANCE A/S, MOPAR BLACK SIDE STEPS, LUXURY TECH GROUP II -inc: Power Tilt/Telescope Steering Column, Integrated Off-Road Camera, Surround View Camera System, Rain Sensitive Windshield Wipers, ParkSense Front/Rear Park Assist w/Stop, Passive Entry - Front/Rear Doors, Liftgate, Wireless Charging Pad, Rear Back Up Camera Washer, Ventilated Front Seats, Auto Dim Exterior Driver Mirror, 2nd Row Manual Window Shades, Intersection Collision Assist System, Rearview Autodim Digital Display Mirror, Memory Steering Column, ENGINE: 3.6L V6 24V VVT UPG I W/ESS (STD), DUAL PANE PANORAMIC SUNROOF -inc: Interior Rear Facing Camera, DIAMOND BLACK CRYSTAL PEARLCOAT, 9 AMPLIFIED SPEAKERS W/SUBWOOFER -inc: 506 Watt Amplifier, Wheels: 18 x 8.0 Polished/Painted Aluminum. Stop By Today Come in for a quick visit at Larry H. Miller Chrysler Jeep Tucson, 7800 E 22Nd St, Tucson, AZ 85710 to claim your Jeep Grand Cherokee L!
      
    For more information on this or any of our quality used vehicles please call us. We will be happy to answer any and all of your questions. You can set up a test drive and discuss your personal finance options. All vehicles are subject to prior sale. Selling price does not include any additional applicable fees and is subject to change without notice.",Jeep,Grand Cherokee L,2024,54641.0,24V MPFI DOHC,6.0,Gasoline,23.0,8-Speed Automatic,Limited,SUV,4.0,Diamond Black,Beige / Black,Rear-wheel Drive
2024 Dodge Hornet R/T Plus,"$1,300 off MSRP! Apple CarPlay/Android Auto, Heated steering wheel, Navigation System, Power driver seat, Power moonroof, Quick Order Package 28D. See the rest of our inventory at: BURRITTMOTORS.COM.Come on in and experience our Environmentally Friendly dealership and friendly sales consultants! At Burritt Motors we strive to be as environmentally friendly as possible! We use Solar Panels for energy and we re-use used oil from oil changes to power our dealership when necessary. Come on in and experience our 'Green' dealership!",Dodge,Hornet,2024,49885.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,,6-Speed Automatic,R/T Plus,SUV,4.0,Blue Steel,Black,All-wheel Drive
2024 Chevrolet Silverado 1500 LT,"
      
        IN STOCK! CALL TO CONFRIM AVAILABILITY TODAY!DRIVE WORRY FREE Never worry when you buy from us! Our Worry Free Guarantee includes: 1. Price Promise; 2. Money Back Guarantee; 3. Trade-In Guarantee; 4. Irwin Rewards saving you hundreds! BUY FROM AN AWARD WINNING DEALERSHIP With thousands of online reviews and the best rated online dealer in New Hampshire we have won countless President's Awards, Carfax Dealer of the Year, Edmunds Dealer of the Year and Dealerrater Dealer of the Year. Check them out-even our bad ones! FINANCING OPTIONS Good or bad credit? We work with dozens of banks with excellent relationships and all types of credit challenges with our goal of 100% credit approval! DON'T SEE WHAT YOU'RE LOOKING FOR? Our Vehicle Locator Service can often find the vehicle you're looking for from our nationwide network! LOCATION We are just a short 15 minute drive from Franklin, 25 minutes from Concord, and 50 minutes from Manchester NH! Minutes off I-93. Call us at 603 524 0770 or e-mail to confirm availability and get any questions you have answered quickly. Our hours are Monday-Friday 8:30am-7pm, and Saturday 8:30am-5pm. Since 1951 we have been New Hampshire's Premier Auto Group. 3 generations, family owned, operated and community minded. See dealer for details. $672 title and documentation fee, $27.00 Title Fee, in addition to selling price. Some exclusions. Not valid on prior orders and some models excluded. Disclaimers for Everyone: Administration and title fee will be added to the final sales price of all new and used vehicles.$1750 - GM Bonus Cash. Exp. 06/03/2024 $3000 - Chevrolet Consumer Cash Program. Exp. 06/03/2024
      
    Irwin Promise...Our Promise, Your Peace of Mind! Home of Irwin's Price Promise
Love It or Leave It Money-Back Guarantee. Vehicle Exchange Promise on used vehicles. Goal of 100% Credit Approval. Relax...no ""Sharks"" here...we have Product Specialists. Service & Parts Low Price Guarantee. We'll buy your car even if you don't buy ours. Irwin Rewards..",Chevrolet,Silverado 1500,2024,49180.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive
2024 Jeep Wagoneer L Base,"
      
        Heated Leather Seats, NAV, Sunroof, 3rd Row Seat, Power Liftgate, Turbo, Tow Hitch, ENGINE: 3.0L I6 HURRICANE SO TWIN TUR... PREMIUM GROUP I. Wagoneer L trim, Diamond Black Crystal Pearlcoat exterior and Global Black interior. CLICK ME!======KEY FEATURES INCLUDE: Leather Seats, Third Row Seat, Navigation, 4x4, Power Liftgate, Rear Air, Heated Driver Seat, Cooled Driver Seat, Running Boards, Premium Sound System, Satellite Radio, iPod/MP3 Input, Onboard Communications System, Trailer Hitch, Remote Engine Start. MP3 Player, Privacy Glass, Keyless Entry, Remote Trunk Release, Child Safety Locks. ======OPTION PACKAGES: PREMIUM GROUP I Wheels: 20 x 9.0 Premium 2 Aluminum, Reversible Carpet/Vinyl Cargo Mat, 3 Panel Sunroof, Adjustable Roof Rail Crossbars, Tires: 275/55R20 BSW All Season, CONVENIENCE GROUP I Active Lane Management System, Rack Cargo Management System, Side Distance Warning, Adaptive Cruise Control w/Stop & Go, Auto High Beam Headlamp Control, Surround View Camera System, 2nd Row Manual Window Shades, Rain Sensitive Windshield Wipers, Heated Second Row Seats, P&P Park & Unpark Assist w/Stop System, Wireless Charging Pad, TRANSMISSION: 8-SPEED AUTOMATIC (8HP75) (STD), ENGINE: 3.0L I6 HURRICANE SO TWIN TURBO ESS (STD). Jeep Wagoneer L with Diamond Black Crystal Pearlcoat exterior and Global Black interior features a Straight 6 Cylinder Engine with 420 HP at 5200 RPM. ======WHY BUY FROM US: All American Chrysler Jeep Dodge of Midland provides the residents of Midland, TX and surrounding areas with up to date inventories of new and pre-owned Chrysler, Dodge and Jeep vehicles. But that isnt all youll find! Our responsive staff can help you with financial matters, service your car, order OEM auto parts and more! We have the knowledge and experience to ensure you quality service. Come visit us today at 3801 W Wall St or call us. Plus TT&L and fees. Price contains all applicable dealer incentives and non-limited factory rebates. You may qualify for additional rebates; see dealer for details.
      
    Nobody beats a Midland Dodge deal.  Nobody.",Jeep,Wagoneer L,2024,74366.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,4.0,8-Speed Automatic,Base,SUV,4.0,Diamond Black,Global Black,Four-wheel Drive
2024 Dodge Hornet GT,"Lane Keeping Assist,Keyless Start,Rear Spoiler,Engine: 2.0L I4 Dohc Di Turbo W/Ess,Quick Order Package 23N Gt",Dodge,Hornet,2024,38575.0,16V GDI DOHC Turbo,4.0,Gasoline,10.0,9-Speed Automatic,GT,SUV,4.0,Gray,Black,All-wheel Drive
